code,sub.code,tag,species,x,y,height15b,height16a,height16b,treatment,exclosure,growth.form,note
101,10A,A001,Celastrus orbiculatus,0.65,0.45,120,108,119,W,0,shrub,
101,10A,A002,Celastrus orbiculatus,0.82,0.1,16,34,35,W,0,shrub,
101,10A,A003,Euonymus macropterus,0.95,0.65,15,22,24,W,0,shrub,
101,10A,A004,Euonymus macropterus,0.35,0.25,18,11,11,W,0,shrub,
101,10A,A005,Actinidia kolomikta,0.05,1,42,50,46,W,0,shrub,
101,10A,A006,Fraxinus mandschurica,0.05,0.9,9,12,12,W,0,tree,
101,10A,A007,Tilia amurensis,0.26,0.24,NA,3,4,W,0,tree,
101,10A,A008,Tilia amurensis,0.36,0.38,NA,5,0,W,0,tree,
101,10A,A009,Tilia amurensis,0.4,0.77,NA,3,4,W,0,tree,
101,10A,A010,Acer pseudo-sieboldianum ,0.57,0.32,NA,4,5,W,0,tree,
101,10A,A011,Tilia amurensis,0.81,0.3,NA,4,4,W,0,tree,
101,10A,A012,Tilia amurensis,0.92,0.37,NA,4,5,W,0,tree,
101,10A,A013,Fraxinus mandschurica,1,0.35,NA,4,6,W,0,tree,
101,10A,A014,Fraxinus mandschurica,0.93,0.66,NA,10,8,W,0,tree,
101,10A,A015,Tilia amurensis,0.95,0.66,NA,7,6,W,0,tree,
101,10A,A016,Tilia amurensis,0.95,0.66,NA,6,0,W,0,tree,
101,10A,A017,Tilia amurensis,0.7,0.9,NA,4,4,W,0,tree,
101,10A,A018,Tilia amurensis,0.63,1,NA,4,0,W,0,tree,
101,10B,B001,Celastrus orbiculatus,0.1,0.5,41,43,24,C,0,shrub,
101,10B,B002,Philadelphus schrenkii,0.95,0.2,100,111,111,C,0,shrub,
101,10B,B004,Euonymus macropterus,0.35,0.3,17,21,25,C,0,shrub,
101,10B,B005,Euonymus macropterus,0.7,0.85,23,28,31,C,0,shrub,
101,10B,B008,Lonicera spp.,0.77,0.3,13,20,20,C,0,shrub,
101,10B,B009,Deutzia glabrata,0.95,0.18,26,35,35,C,0,shrub,
101,10B,B010,Tilia amurensis,0.1,0.2,NA,4,4,C,0,tree,
