"","sp.","site","quadrat","tag","x","y","height0","height1","pesticide","exclosure","growth.form","growth.habit","dispersal.mode","mycor.type","shade.tolerance","leaf.lifespan","surv0","surv1","census","quad.unique","plot","quad.sp","A.sum","A.con","A.het","quad.census","quad.census.sp","sum.dens","con.dens","S.con","S.het","lg_A.con","lg_A.het","lg_A.sum","lg_S.con","lg_S.het","lg_height0"
"5","ABNE",2,505,5009,0.5,0.5,3,0,"I",1,"tree","canopy","wind","EM","shade_tolerant","evergreen",1,0,"15fa","2_1_505","2_1","2_1_505_ABNE",6244.71306660459,345.319914539228,5899.39315206536,"2_1_505_15fa","2_1_505_15fa_ABNE",10,1,0,9,0.0448019261874333,0.940831372436989,0.619247304272402,-2.04128471219882,-0.188101771360311,-0.951260365764085
"39","ABNE",2,209,9018,0.57,0.77,2,0,"F",0,"tree","canopy","wind","EM","shade_tolerant","evergreen",1,0,"15fa","2_0_209","2_0","2_0_209_ABNE",6899.23947026273,388.511889026754,6510.72758123598,"2_0_209_15fa","2_0_209_15fa_ABNE",11,1,0,10,0.0926372198796174,1.30781890309882,1.20812219983348,-2.04128471219882,-0.0534555062511097,-1.82355409277124
"48","ABNE",2,504,4033,0.6,0.82,3,0,"F",1,"tree","canopy","wind","EM","shade_tolerant","evergreen",1,0,"15fa","2_1_504","2_1","2_1_504_ABNE",5984.75297030223,354.483618678235,5630.26935162399,"2_1_504_15fa","2_1_504_15fa_ABNE",22,1,0,21,0.0554312246980541,0.76704680697242,0.368042981437453,-2.04128471219882,0.92576496342987,-0.951260365764085
"51","ABNE",2,408,8028,0.33,0.15,2,0,"F",0,"tree","canopy","wind","EM","shade_tolerant","evergreen",1,0,"15fa","2_0_408","2_0","2_0_408_ABNE",6764.60640946675,588.299341343578,6176.30706812317,"2_0_408_15fa","2_0_408_15fa_ABNE",12,1,0,11,0.261151455906575,1.11155962612552,1.09169477034001,-2.04128471219882,0.0694669030625142,-1.82355409277124
"68","ABNE",2,402,2012,0.8,0.5,3,0,"W",0,"tree","canopy","wind","EM","shade_tolerant","evergreen",1,0,"15fa","2_0_402","2_0","2_0_402_ABNE",5092.28278874784,1097.04648764735,3995.23630110049,"2_0_402_15fa","2_0_402_15fa_ABNE",4,2,1,2,0.514449409862932,-0.509774125061766,-0.586015575288615,-1.23293275386211,-1.88897403629944,-0.951260365764085
"99","ACBA",1,310,10009,0.32,0.18,8,8,"F",0,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,1,"15fa","1_0_310","1_0","1_0_310_ACBA",5503.45894371312,3.34519574224804,5500.11374797087,"1_0_310_15fa","1_0_310_15fa_ACBA",7,1,0,6,-1.73716300616365,0.679996691366738,-0.127264401375417,-2.04128471219882,-0.691982355343899,1.15883785861631
"274","ACBA",1,105,5009,0.48,0.9,3.5,0,"F",0,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,0,"15fa","1_0_105","1_0","1_0_105_ACBA",4905.64582165819,12.09322454274,4893.55259711545,"1_0_105_15fa","1_0_105_15fa_ACBA",10,2,1,8,-1.28823219930999,0.245089711191575,-0.806613072759038,-1.23293275386211,-0.336946311916534,-0.619629682042379
"496","ACMO",1,407,7003,0.6,0.7,4,3,"I",0,"tree","canopy","wind","AM","shade_tolerant","deciduous",1,1,"15fa","1_0_407","1_0","1_0_407_ACMO",7086.27069309123,228.940480685698,6857.33021240553,"1_0_407_15fa","1_0_407_15fa_ACMO",3,1,0,2,-0.121881857864653,1.50086351473393,1.36614661133492,-2.04128471219882,-1.88897403629944,-0.332358117077464
"1093","ACTE",2,310,10016,0.76,0.65,8,0,"F",1,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,0,"15fa","2_1_310","2_1","2_1_310_ACTE",4796.36743789652,25.5094352214914,4770.85800267503,"2_1_310_15fa","2_1_310_15fa_ACTE",10,1,0,9,-1.00113202210041,0.15058135965427,-0.939705472384619,-2.04128471219882,-0.188101771360311,1.15883785861631
"1096","ACTE",2,510,10023,0.23,0.13,9,4,"W",1,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,1,"15fa","2_1_510","2_1","2_1_510_ACTE",5238.05499299751,35.7938307301566,5202.26116226736,"2_1_510_15fa","2_1_510_15fa_ACTE",10,1,0,9,-0.867705424829221,0.472777404406691,-0.41927107585366,-2.04128471219882,-0.188101771360311,1.41222933693685
